id,source,title,content,category
27,netflix_titles.csv,Boyz n the Hood,"In the middle of the Los Angeles ghetto, drugs, robberies and shootings dominate everyday life. During these times, Furious tries to raise his son Tre to be a decent person. Tre's friends, on the other hand, have little regard for the law and drag the entire neighborhood into a street war...
    
Genre: Crime, Drama
Type: movie
Release Year: 1991
Director: John Singleton
Actors: Cuba Gooding Jr., Laurence Fishburne, Ice Cube, Morris Chestnut, Angela Bassett Cuba Gooding Jr Laurence Fishburne Ice Cube Morris Chestnut Angela Bassett
IMDB Rating: 7.8
Available in 37 countries",Crime
28,netflix_titles.csv,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.
    
Genre: Crime, Drama
Type: movie
Release Year: 1994
Director: Quentin Tarantino
Actors: John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames John Travolta Samuel L Jackson Uma Thurman Bruce Willis Ving Rhames
IMDB Rating: 8.9
Available in 117 countries",Crime
29,netflix_titles.csv,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.
    
Genre: Comedy, Horror
Type: movie
Release Year: 2004
Director: Edgar Wright
Actors: Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, Dylan Moran Simon Pegg Nick Frost Kate Ashfield Lucy Davis Dylan Moran
IMDB Rating: 7.9
Available in 66 countries",Comedy
30,netflix_titles.csv,Gandhi,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.
    
Genre: Biography, Drama, History
Type: movie
Release Year: 1982
Director: Richard Attenborough
Actors: Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard Ben Kingsley Candice Bergen Edward Fox John Gielgud Trevor Howard
IMDB Rating: 8.0
Available in 1 countries",Biography
31,netflix_titles.csv,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.
    
Genre: Action, Drama, History
Type: movie
Release Year: 2001
Director: Ridley Scott
Actors: Josh Hartnett, Eric Bana, Ewan McGregor, Tom Sizemore, William Fichtner Josh Hartnett Eric Bana Ewan McGregor Tom Sizemore William Fichtner
IMDB Rating: 7.7
Available in 53 countries",Action
32,netflix_titles.csv,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.
    
Genre: Drama, War
Type: movie
Release Year: 1998
Director: Steven Spielberg
Actors: Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg Tom Hanks Tom Sizemore Edward Burns Barry Pepper Adam Goldberg
IMDB Rating: 8.6
Available in 109 countries",Drama
33,netflix_titles.csv,Madagascar,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.
    
Genre: Adventure, Animation, Comedy
Type: movie
Release Year: 2005
Director: Eric Darnell
Actors: Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen Ben Stiller Chris Rock David Schwimmer Jada Pinkett Smith Sacha Baron Cohen
IMDB Rating: 6.9
Available in 120 countries",Adventure
34,netflix_titles.csv,Mission: Impossible Mission Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the prime suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.
    
Genre: Action, Adventure, Thriller
Type: movie
Release Year: 1996
Director: Brian De Palma
Actors: Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno Tom Cruise Jon Voight Emmanuelle Béart Henry Czerny Jean Reno
IMDB Rating: 7.2
Available in 115 countries",Action
35,netflix_titles.csv,Mission: Impossible II Mission Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.
    
Genre: Action, Adventure, Thriller
Type: movie
Release Year: 2000
Director: John Woo
Actors: Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames, Richard Roxburgh Tom Cruise Dougray Scott Thandiwe Newton Ving Rhames Richard Roxburgh
IMDB Rating: 6.1
Available in 115 countries",Action
36,netflix_titles.csv,Mission: Impossible III Mission Impossible III,"Retired from active duty, and training recruits for the Impossible Mission Force, agent Ethan Hunt faces the toughest foe of his career: Owen Davian, an international broker of arms and information, who's as cunning as he is ruthless. Davian emerges to threaten Hunt and all that he holds dear – including the woman Hunt loves.
    
Genre: Action, Adventure, Thriller
Type: movie
Release Year: 2006
Director: J.J. Abrams JJ Abrams
Actors: Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Michelle Monaghan Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Michelle Monaghan
IMDB Rating: 6.9
Available in 109 countries",Action
37,netflix_titles.csv,Seven Years in Tibet,"Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.
    
Genre: Adventure, Biography, Drama
Type: movie
Release Year: 1997
Director: Jean-Jacques Annaud JeanJacques Annaud
Actors: Brad Pitt, Jamyang Jamtsho Wangchuk, David Thewlis, BD Wong, Mako Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako
IMDB Rating: 7.1
Available in 38 countries",Adventure
38,netflix_titles.csv,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.
    
Genre: Drama, Mystery, Sci-Fi
Type: movie
Release Year: 2006
Director: Christopher Nolan
Actors: Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall Hugh Jackman Christian Bale Michael Caine Piper Perabo Rebecca Hall
IMDB Rating: 8.5
Available in 40 countries",Drama
39,netflix_titles.csv,The Remains of the Day,"A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.
    
Genre: Drama, Romance
Type: movie
Release Year: 1993
Director: James Ivory
Actors: Anthony Hopkins, Emma Thompson, James Fox, Christopher Reeve, Hugh Grant Anthony Hopkins Emma Thompson James Fox Christopher Reeve Hugh Grant
IMDB Rating: 7.8
Available in 18 countries",Drama
40,netflix_titles.csv,Mr. Bean's Holiday Mr Beans Holiday,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.
    
Genre: Comedy, Family
Type: movie
Release Year: 2007
Director: Steve Bendelack
Actors: Rowan Atkinson, Willem Dafoe, Maxim Baldry, Karel Roden, Emma de Caunes Rowan Atkinson Willem Dafoe Maxim Baldry Karel Roden Emma de Caunes
IMDB Rating: 6.4
Available in 42 countries",Comedy
41,netflix_titles.csv,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.
    
Genre: Action, Drama
Type: movie
Release Year: 2006
Director: Zack Snyder
Actors: Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan
IMDB Rating: 7.6
Available in 28 countries",Action
42,netflix_titles.csv,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.
    
Genre: Adventure, Drama, Thriller
Type: movie
Release Year: 2006
Director: Edward Zwick
Actors: Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo Leonardo DiCaprio Djimon Hounsou Jennifer Connelly Kagiso Kuypers Arnold Vosloo
IMDB Rating: 8.0
Available in 15 countries",Adventure
43,netflix_titles.csv,Perfume: The Story of a Murderer Perfume The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.
    
Genre: Crime, Drama, Fantasy
Type: movie
Release Year: 2006
Director: Tom Tykwer
Actors: Ben Whishaw, Alan Rickman, Rachel Hurd-Wood, Dustin Hoffman, John Hurt Ben Whishaw Alan Rickman Rachel HurdWood Dustin Hoffman John Hurt
IMDB Rating: 7.5
Available in 40 countries",Crime
44,netflix_titles.csv,The Virgin Suicides,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.
    
Genre: Drama, Romance
Type: movie
Release Year: 1999
Director: Sofia Coppola
Actors: James Woods, Kathleen Turner, Kirsten Dunst, Josh Hartnett, Michael Paré James Woods Kathleen Turner Kirsten Dunst Josh Hartnett Michael Paré
IMDB Rating: 7.2
Available in 55 countries",Drama
45,netflix_titles.csv,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.
    
Genre: Action, Adventure, Fantasy
Type: movie
Release Year: 2004
Director: Guillermo del Toro
Actors: Ron Perlman, Selma Blair, Doug Jones, John Hurt, Rupert Evans Ron Perlman Selma Blair Doug Jones John Hurt Rupert Evans
IMDB Rating: 6.9
Available in 56 countries",Action
46,netflix_titles.csv,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.
    
Genre: Action, Horror, Sci-Fi
Type: movie
Release Year: 2002
Director: Paul W. S. Anderson Paul W S Anderson
Actors: Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy, Martin Crewes Milla Jovovich Michelle Rodriguez Eric Mabius James Purefoy Martin Crewes
IMDB Rating: 6.6
Available in 63 countries",Action
47,netflix_titles.csv,Resident Evil: Apocalypse Resident Evil Apocalypse,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.
    
Genre: Action, Horror, Sci-Fi
Type: movie
Release Year: 2004
Director: Alexander Witt
Actors: Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann, Sophie Vavasseur Milla Jovovich Sienna Guillory Oded Fehr Thomas Kretschmann Sophie Vavasseur
IMDB Rating: 6.1
Available in 59 countries",Action
48,netflix_titles.csv,The Holiday,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.
    
Genre: Comedy, Romance
Type: movie
Release Year: 2006
Director: Nancy Meyers
Actors: Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach
IMDB Rating: 7.0
Available in 122 countries",Comedy
49,netflix_titles.csv,The Mummy Returns,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.
    
Genre: Action, Adventure, Fantasy
Type: movie
Release Year: 2001
Director: Stephen Sommers
Actors: Brendan Fraser, Rachel Weisz, John Hannah, Oded Fehr, Arnold Vosloo Brendan Fraser Rachel Weisz John Hannah Oded Fehr Arnold Vosloo
IMDB Rating: 6.4
Available in 40 countries",Action
50,netflix_titles.csv,The Devil's Advocate The Devils Advocate,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.
    
Genre: Drama, Fantasy, Mystery
Type: movie
Release Year: 1997
Director: Taylor Hackford
Actors: Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones, Judith Ivey Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey
IMDB Rating: 7.5
Available in 20 countries",Drama
